Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\config\instrumentos.client.routes.js                      | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\controllers\instrumentos.client.controller.js             | JavaScript |        726 |         62 |         40 |        828 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\instrumentos.client.module.js                             | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\services\instrumentos.client.service.js                   | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\views\create-instrumento.client.view.html                 | HTML       |        308 |         29 |         44 |        381 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\views\edit-instrumento.client.view.html                   | HTML       |        313 |         29 |         43 |        385 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\views\list-instrumento.client.view.html                   | HTML       |         62 |          5 |          9 |         76 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\views\view-instrumento.client.view.html                   | HTML       |         52 |          5 |         16 |         73 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\.bower.json                                       | JSON       |         20 |          0 |          0 |         20 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\LICENSE.md                                        | Markdown   |         17 |          0 |          5 |         22 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\README.md                                         | Markdown   |         47 |          0 |         22 |         69 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\angular-resource.js                               | JavaScript |        307 |        497 |         60 |        864 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\angular-resource.min.js                           | JavaScript |          9 |          6 |          1 |         16 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\bower.json                                        | JSON       |         10 |          0 |          1 |         11 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\index.js                                          | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\package.json                                      | JSON       |         33 |          0 |          1 |         34 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\.bower.json                                          | JSON       |         20 |          0 |          0 |         20 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\LICENSE.md                                           | Markdown   |         17 |          0 |          5 |         22 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\README.md                                            | Markdown   |         47 |          0 |         22 |         69 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\angular-route.js                                     | JavaScript |        344 |        650 |         76 |      1,070 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\angular-route.min.js                                 | JavaScript |         10 |          6 |          1 |         17 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\bower.json                                           | JSON       |         10 |          0 |          1 |         11 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\index.js                                             | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\package.json                                         | JSON       |         33 |          0 |          1 |         34 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\.bower.json                                                | JSON       |         18 |          0 |          0 |         18 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\LICENSE.md                                                 | Markdown   |         17 |          0 |          5 |         22 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\README.md                                                  | Markdown   |         44 |          0 |         21 |         65 |
