"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "Less", "SCSS", "YAML", "XML", "comment", "blank", "total"
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\views\view-idioma.client.view.html", "HTML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 3, 39
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\config\instrumentos.client.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\controllers\instrumentos.client.controller.js", "JavaScript", 726, 0, 0, 0, 0, 0, 0, 0, 0, 62, 40, 828
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\instrumentos.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\services\instrumentos.client.service.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\views\create-instrumento.client.view.html", "HTML", 0, 0, 0, 308, 0, 0, 0, 0, 0, 29, 44, 381
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\views\edit-instrumento.client.view.html", "HTML", 0, 0, 0, 313, 0, 0, 0, 0, 0, 29, 43, 385
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\views\list-instrumento.client.view.html", "HTML", 0, 0, 0, 62, 0, 0, 0, 0, 0, 5, 9, 76
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\instrumentos\views\view-instrumento.client.view.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 5, 16, 73
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\.bower.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\LICENSE.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\README.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 22, 69
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\angular-resource.js", "JavaScript", 307, 0, 0, 0, 0, 0, 0, 0, 0, 497, 60, 864
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\angular-resource.min.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 16
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\bower.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-resource\package.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\.bower.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\LICENSE.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\README.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 22, 69
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular-route\angular-route.js", "JavaScript", 344, 0, 0, 0, 0, 0, 0, 0, 0, 650, 76, 1070
